Letter,Number,Color
amr,78,Lavender
ams,22,Cyan
amt,90,Gray
amu,83,Turquoise
amv,16,Lavender
amw,52,Green
amx,61,Lavender
amy,66,Turquoise
amz,77,Green
ana,36,Red
anb,79,Cyan
anc,62,Lavender
and,35,Purple
ane,42,White
anf,41,Orange
ang,86,Gray
anh,96,White
ani,26,Gray
anj,94,Purple
ank,26,Yellow
anl,59,Brown
anm,73,Yellow
ann,85,Brown
ano,61,Orange
anp,87,Gray
anq,12,Red
anr,60,Magenta
ans,20,Yellow
ant,62,Magenta
anu,37,Purple
anv,26,Cyan
anw,24,Green
anx,46,Turquoise
any,93,Turquoise
anz,84,Orange
aoa,79,Gray
aob,70,Orange
aoc,63,Magenta
aod,82,Turquoise
aoe,81,Red
aof,73,Lavender
aog,99,Black
aoh,97,Yellow
aoi,39,Brown
aoj,94,Gray
aok,48,Yellow
aol,68,Black
aom,8,Brown
aon,73,Blue
aoo,95,Black
aop,3,Green
aoq,51,Magenta
aor,50,Blue
aos,55,Blue
aot,36,Lavender
aou,21,Gray
aov,60,Black
aow,58,Purple
aox,58,Lavender
aoy,86,Purple
aoz,32,Orange
apa,91,Turquoise
apb,88,Gray
apc,11,Orange
apd,2,Red
ape,13,Cyan
apf,11,Blue
apg,72,Gray
aph,83,Pink
api,36,Lavender
apj,68,Brown
apk,21,Orange
apl,75,Blue
apm,52,Purple
apn,21,Black
apo,75,White
app,44,Black
apq,38,Purple
apr,67,Lavender
aps,36,Cyan
apt,18,Pink
apu,58,Brown
apv,34,Cyan
apw,23,Purple
apx,67,White
apy,72,Magenta
apz,97,Cyan
aqa,3,Yellow
aqb,74,Turquoise
aqc,25,Purple
aqd,31,Red
aqe,9,Yellow
aqf,84,Red
aqg,68,Brown
aqh,39,Magenta
aqi,12,Orange
aqj,4,Lavender
aqk,96,White
aql,72,Purple
aqm,96,Yellow
aqn,80,White
aqo,18,Orange
aqp,39,Purple
aqq,78,Gray
aqr,22,Orange
aqs,4,Gray
aqt,36,Yellow
aqu,98,Purple
aqv,31,Green
aqw,64,Black
aqx,95,Black
aqy,19,Green
aqz,80,Black
ara,12,Blue
arb,27,Lavender
arc,85,Black
ard,79,Gray
are,28,Orange
arf,50,Gray
arg,93,Pink
arh,92,White
ari,57,Brown
arj,6,Green
ark,43,Yellow
arl,7,Red
arm,88,Purple
arn,12,Purple
aro,53,Turquoise
arp,41,Blue
arq,45,Blue
arr,42,Purple
ars,6,Black
art,23,Orange
aru,44,Blue
arv,26,Brown
arw,71,White
arx,96,White
ary,92,Cyan
arz,55,Cyan
asa,1,Red
asb,15,Purple
asc,40,Turquoise
asd,80,Black
ase,43,Red
asf,28,Yellow
asg,98,Red
ash,0,Brown
asi,14,Gray
asj,63,Magenta
ask,87,Orange
asl,35,Blue
asm,51,Turquoise
asn,56,Purple
aso,51,Gray
asp,65,Purple
asq,11,Turquoise
asr,6,Brown
ass,44,Gray
ast,34,Black
asu,87,Black
asv,81,Purple
asw,35,Black
asx,46,Magenta
asy,29,Gray
asz,97,Black
ata,64,Red
atb,95,Turquoise
atc,14,Purple
atd,27,White
ate,50,Magenta
atf,53,Lavender
atg,82,Purple
ath,57,Yellow
ati,34,Gray
atj,18,Brown
atk,88,Black
atl,43,Cyan
atm,24,Red
atn,26,Green
ato,72,White
atp,76,Magenta
atq,43,Lavender
atr,1,Magenta
ats,84,Yellow
att,92,White
atu,45,White
atv,44,Blue
atw,85,White
atx,55,Purple
aty,100,Gray
atz,66,Magenta
aua,17,Black
aub,35,Orange
auc,1,Gray
aud,18,Blue
aue,48,Lavender
auf,49,Magenta
aug,54,Red
auh,60,Pink
aui,100,Yellow
auj,41,Pink
auk,56,Magenta
aul,62,Lavender
aum,46,Brown
aun,74,Pink
auo,64,Magenta
aup,30,Cyan
auq,38,Blue
aur,66,Orange
aus,57,Turquoise
aut,78,Green
auu,93,White
auv,33,Pink
auw,57,Cyan
aux,8,Orange
auy,19,Black
auz,21,Gray
ava,44,Green
avb,54,Green
avc,49,Yellow
avd,32,Lavender
ave,16,Cyan
avf,77,Purple
avg,58,Black
avh,99,Brown
avi,8,Turquoise
avj,83,Cyan
avk,35,Lavender
avl,51,Purple
avm,78,Lavender
avn,46,Cyan
avo,28,Gray
avp,65,Purple
avq,50,Orange
avr,78,Yellow
avs,41,Yellow
avt,13,Blue
avu,76,Cyan
avv,24,Turquoise
avw,17,Turquoise
avx,32,Black
avy,42,Magenta
avz,50,Blue
awa,41,Blue
awb,79,Blue
awc,70,Black
awd,3,Yellow
awe,28,Cyan
awf,75,Brown
awg,94,White
awh,15,Cyan
awi,51,Yellow
awj,37,Pink
awk,25,Purple
awl,39,White
awm,86,Blue
awn,42,Brown
awo,50,Red
awp,16,Pink
awq,60,White
awr,50,Turquoise
aws,48,Purple
awt,58,Green
awu,60,Pink
awv,41,Purple
aww,6,Green
awx,50,Red
awy,32,Black
awz,90,Orange
axa,5,Orange
axb,1,Blue
axc,93,Gray
axd,24,Black
axe,15,Purple
axf,69,Turquoise
axg,42,Purple
axh,43,Turquoise
axi,47,Green
axj,43,Green
axk,77,Cyan
axl,82,Pink
axm,34,Cyan
axn,59,Green
axo,36,Magenta
axp,18,White
axq,80,Gray
axr,60,Black
axs,14,Black
axt,67,Orange
axu,47,Green
axv,39,Cyan
axw,24,Purple
axx,78,Lavender
axy,19,Lavender
axz,74,Magenta
aya,64,Lavender
ayb,74,Magenta
ayc,74,Pink
ayd,25,Gray
aye,43,Green
ayf,55,Brown
ayg,0,White
ayh,97,Black
ayi,45,Yellow
ayj,38,Blue
ayk,31,Black
ayl,28,Gray
aym,70,Purple
ayn,31,Black
ayo,15,Orange
ayp,93,Yellow
ayq,36,Pink
ayr,36,Yellow
ays,49,Magenta
ayt,78,Turquoise
ayu,55,Green
ayv,89,Purple
ayw,85,Blue
ayx,37,Gray
ayy,86,Turquoise
ayz,9,Red
aza,8,Magenta
azb,87,Blue
azc,96,Cyan
azd,47,Turquoise
aze,60,Green
azf,52,Purple
azg,33,Gray
azh,71,Pink
azi,39,Pink
azj,10,Purple
azk,63,White
azl,46,Magenta
azm,79,Orange
azn,48,Green
azo,42,Purple
azp,63,Turquoise
azq,14,Green
azr,91,White
azs,32,Pink
azt,59,Green
azu,68,Orange
azv,24,Brown
azw,52,White
azx,99,Green
azy,27,Magenta
azz,14,Green
baa,81,Lavender
bab,47,Brown
bac,61,Red
bad,28,Blue
bae,25,Black
baf,54,White
bag,79,Magenta
bah,52,Brown
bai,12,Cyan
baj,40,Lavender
bak,24,Pink
bal,94,Blue
bam,98,Purple
ban,48,Turquoise
bao,93,Pink
bap,52,Lavender
baq,9,Yellow
bar,64,Brown
bas,37,Orange
bat,23,Purple
bau,38,Black
bav,82,Lavender
baw,41,Brown
bax,20,Green
bay,33,Red
baz,13,Lavender
bba,98,Turquoise
bbb,11,Gray
bbc,63,Blue
bbd,89,Yellow
bbe,42,Green
bbf,63,White
bbg,80,White
bbh,8,White
bbi,33,Blue
bbj,100,White
bbk,21,Magenta
bbl,1,Yellow
bbm,68,Purple
bbn,77,Pink
bbo,0,Purple
bbp,41,White
bbq,51,Cyan
bbr,15,Pink
bbs,51,Purple
bbt,4,Cyan
bbu,51,Purple
bbv,14,Brown
bbw,37,Lavender
bbx,42,Turquoise
bby,97,Lavender
bbz,66,Gray
bca,96,Lavender
bcb,25,Lavender
bcc,67,Yellow
bcd,24,Gray
bce,85,Green
bcf,43,Cyan
bcg,1,White
bch,98,Orange
bci,7,White
bcj,37,Yellow
bck,16,Brown
bcl,51,Purple
bcm,32,Cyan
bcn,26,Gray
bco,40,Cyan
bcp,93,Yellow
bcq,81,Blue
bcr,8,Yellow
bcs,26,Pink
bct,78,Turquoise
bcu,95,Pink
bcv,1,Pink
bcw,89,Yellow
bcx,52,Yellow
bcy,99,Gray
bcz,7,Lavender
bda,98,Lavender
bdb,32,Black
bdc,81,Red
bdd,54,Blue
bde,57,Black
bdf,15,Green
bdg,23,Yellow
bdh,51,Red
bdi,33,Black
bdj,68,Black
bdk,28,Gray
bdl,59,White
bdm,80,White
bdn,77,Magenta
bdo,69,Green
bdp,90,Cyan
bdq,16,Cyan
bdr,86,Brown
bds,49,Magenta
bdt,19,Lavender
bdu,2,Green
bdv,59,Brown
bdw,31,Magenta
bdx,82,Yellow
bdy,97,Black
bdz,93,Black
bea,50,Black
beb,69,Pink
bec,31,Green
bed,49,Lavender
bee,84,Blue
bef,1,Blue
beg,81,Cyan
beh,4,Brown
bei,31,Cyan
bej,40,Blue
bek,29,Brown
bel,48,White
bem,74,Magenta
ben,4,Lavender
beo,10,Red
bep,100,Brown
beq,43,Brown
ber,10,Cyan
bes,64,Pink
bet,2,Turquoise
beu,49,Lavender
bev,96,Orange
bew,38,Brown
bex,3,Cyan
bey,55,Black
bez,82,Pink
bfa,36,Gray
bfb,60,White
bfc,49,Pink
bfd,32,Purple
bfe,64,Black
bff,2,Yellow
bfg,24,Magenta
bfh,53,Brown
bfi,16,Gray
bfj,55,Pink
bfk,90,Pink
bfl,5,Turquoise
bfm,43,Lavender
bfn,77,Magenta
bfo,63,Red
bfp,99,White
bfq,92,Lavender
bfr,46,Red
bfs,98,Pink
bft,89,Turquoise
bfu,88,Turquoise
bfv,39,Cyan
bfw,100,Red
bfx,27,Black
bfy,23,Black
bfz,85,Magenta
bga,58,Orange
bgb,100,Purple
bgc,65,Black
bgd,0,Cyan
bge,53,Green
bgf,30,Magenta
bgg,61,Black
bgh,87,Green
bgi,34,Blue
bgj,42,Lavender
bgk,90,Brown
bgl,92,Red
bgm,56,Purple
bgn,53,Brown
bgo,44,White
bgp,88,Magenta
bgq,95,White
bgr,41,Yellow
bgs,80,White
bgt,28,Gray
bgu,12,Gray
bgv,39,Cyan
bgw,57,Cyan
bgx,28,Red
bgy,37,Blue
bgz,89,Blue
bha,22,Cyan
bhb,13,Yellow
bhc,56,Yellow
bhd,49,Red
bhe,21,Orange
bhf,94,Yellow
bhg,11,Orange
bhh,44,Black
bhi,2,Gray
bhj,53,Pink
bhk,72,Red
bhl,75,Gray
bhm,83,Red
bhn,30,Red
bho,36,Green
bhp,84,Brown
bhq,86,Pink
bhr,46,White
bhs,70,Red
bht,55,Blue
bhu,30,Lavender
bhv,21,Orange
bhw,48,Black
bhx,61,Cyan
bhy,68,White
bhz,62,Pink
bia,12,Orange
bib,87,Turquoise
bic,89,Orange
bid,73,Purple
bie,51,Pink
bif,92,Orange
big,27,Cyan
bih,24,Purple
bii,78,Lavender
bij,20,Orange
bik,60,Lavender
bil,9,Magenta
bim,68,Magenta
bin,58,Cyan
bio,15,White
bip,75,Black
biq,73,Yellow
bir,39,Green
bis,46,Red
bit,77,Black
biu,5,Magenta
biv,20,Black
biw,35,Magenta
bix,95,Pink
biy,41,Blue
biz,4,Red
bja,77,Cyan
bjb,33,Brown
bjc,38,Pink
bjd,68,Blue
bje,88,Purple
bjf,50,Black
bjg,99,Pink
bjh,60,Red
bji,69,Purple
bjj,9,Purple
bjk,38,Black
bjl,55,Gray
bjm,87,Pink
bjn,33,Brown
bjo,72,Yellow
bjp,11,Purple
bjq,1,Blue
bjr,47,Green
bjs,30,Black
bjt,3,Magenta
bju,13,Purple
bjv,18,Gray
bjw,73,Brown
bjx,81,Purple
bjy,12,Brown
bjz,80,Blue
bka,29,Cyan
bkb,2,Purple
bkc,91,White
bkd,24,Brown
bke,100,Pink
bkf,79,Lavender
bkg,46,Magenta
bkh,11,Cyan
bki,84,Black
bkj,99,Magenta
bkk,61,Red
bkl,51,Blue
bkm,26,Red
bkn,79,Brown
bko,24,Cyan
bkp,37,Yellow
bkq,23,Gray
bkr,87,Magenta
bks,63,Red
bkt,48,Magenta
bku,86,Pink
bkv,37,Gray
bkw,68,Purple
bkx,87,Orange
bky,47,Gray
bkz,61,Black
bla,46,Red
blb,86,Lavender
blc,15,Yellow
bld,58,Black
ble,98,Blue
blf,85,White
blg,62,Lavender
blh,96,Yellow
bli,22,White
blj,91,Gray
blk,6,Blue
bll,78,Lavender
blm,6,Magenta
bln,38,Turquoise
blo,47,Orange
blp,52,Yellow
blq,0,Magenta
blr,70,Orange
bls,50,Lavender
blt,33,Pink
blu,96,Yellow
blv,61,Turquoise
blw,14,Pink
blx,56,Brown
bly,67,Gray
blz,89,Turquoise
bma,58,Red
bmb,53,Magenta
bmc,2,Lavender
bmd,28,Black
bme,19,White
bmf,38,Red
bmg,38,Turquoise
bmh,35,Brown
bmi,27,Blue
bmj,46,Red
bmk,73,Black
bml,63,Green
bmm,80,White
bmn,38,Black
bmo,97,Pink
bmp,89,Blue
bmq,88,Black
bmr,47,Orange
bms,68,Purple
bmt,48,Black
bmu,68,Magenta
bmv,68,Brown
bmw,89,Purple
bmx,43,Pink
bmy,3,White
bmz,58,Blue
bna,20,Gray
bnb,10,Brown
bnc,58,Brown
bnd,17,Magenta
bne,25,White
bnf,68,Black
bng,43,Turquoise
bnh,12,Magenta
bni,15,Gray
bnj,86,Turquoise
bnk,29,Yellow
bnl,100,Yellow
bnm,16,Magenta
bnn,48,Orange
bno,29,Yellow
bnp,70,Orange
bnq,2,Brown
bnr,5,Black
bns,53,Red
bnt,39,Green
bnu,13,White
bnv,68,White
bnw,84,White
bnx,17,Lavender
bny,30,Black
bnz,28,Brown
boa,59,Pink
bob,49,Brown
boc,56,Black
bod,69,Yellow
boe,51,Purple
bof,82,Cyan
bog,93,Brown
boh,33,Lavender
boi,65,Black
boj,26,White
bok,58,Green
bol,82,Magenta
bom,21,Black
bon,44,White
boo,95,Gray
bop,13,Lavender
boq,43,Black
bor,25,Cyan
bos,49,White
bot,74,Green
bou,90,Red
bov,55,Magenta
bow,65,Orange
box,63,White
boy,87,Orange
boz,71,Magenta
bpa,97,Yellow
bpb,98,White
bpc,98,Purple
bpd,62,Yellow
bpe,2,Pink
bpf,98,Black
bpg,12,Magenta
bph,46,Red
bpi,86,Green
bpj,36,Lavender
bpk,17,Yellow
bpl,95,Black
bpm,13,Turquoise
bpn,60,Orange
bpo,15,Turquoise
bpp,85,Gray
bpq,38,Yellow
bpr,27,Gray
bps,59,Cyan
bpt,13,Lavender
bpu,81,Blue
bpv,38,Lavender
bpw,94,Cyan
bpx,84,Cyan
bpy,9,Turquoise
bpz,7,Turquoise
bqa,76,Brown
bqb,50,Magenta
bqc,35,Pink
bqd,11,White
bqe,96,Orange
bqf,59,Black
bqg,91,Lavender
bqh,16,Magenta
bqi,6,Magenta
bqj,69,White
bqk,35,Lavender
bql,79,Lavender
bqm,44,Brown
bqn,56,Red
bqo,60,Red
bqp,81,Turquoise
bqq,15,Gray
bqr,32,Lavender
bqs,6,Orange
bqt,11,Blue
bqu,64,White
bqv,75,Orange
bqw,100,Magenta
bqx,6,Pink
bqy,44,Brown
bqz,13,White
bra,35,Lavender
brb,25,Yellow
brc,85,Black
brd,79,Black
bre,98,Black
brf,21,Lavender
brg,13,Pink
brh,45,Cyan
bri,97,White
brj,96,Green
brk,94,Red
brl,74,Yellow
brm,8,Magenta
brn,4,Magenta
bro,37,Green
brp,67,Gray
brq,1,Red
brr,72,Magenta
brs,28,Blue
brt,87,Red
bru,25,Brown
brv,31,Gray
brw,69,White
brx,18,Cyan
bry,12,Gray
brz,2,Orange
bsa,93,Orange
bsb,2,Red
bsc,49,Gray
bsd,44,Purple
bse,78,Brown
bsf,17,Brown
bsg,26,Orange
bsh,82,Orange
bsi,7,Gray
bsj,88,Gray
bsk,29,Yellow
bsl,4,Turquoise
bsm,63,Pink
bsn,81,Magenta
bso,83,Brown
bsp,61,Purple
bsq,13,Yellow
bsr,74,Red
bss,35,Purple
bst,91,Purple
bsu,12,Lavender
bsv,32,Lavender
bsw,83,Green
bsx,53,Lavender
bsy,10,Pink
bsz,97,Magenta
bta,54,Purple
btb,31,Cyan
btc,78,Orange
btd,58,Green
bte,18,Turquoise
btf,88,Magenta
btg,9,White
bth,98,Green
bti,60,Yellow
btj,29,Orange
btk,77,Orange
btl,21,Black
btm,92,Red
btn,39,Turquoise
bto,52,Red
btp,68,Brown
btq,18,Brown
btr,3,Lavender
bts,13,Lavender
btt,4,Red
btu,74,White
btv,68,Brown
btw,58,Green
btx,52,Brown
bty,77,Turquoise
btz,72,Turquoise
bua,58,Blue
bub,62,Cyan
buc,19,Blue
bud,94,Red
bue,12,Gray
buf,45,Cyan
bug,9,Purple
buh,68,Lavender
bui,16,Orange
buj,73,Brown
buk,19,Pink
bul,20,Lavender
bum,32,Black
bun,82,Yellow
buo,100,Orange
bup,64,Yellow
buq,77,Orange
bur,74,White
bus,74,Pink
but,11,Brown
buu,26,Red
buv,1,Blue
buw,56,Pink
bux,35,Cyan
buy,86,Cyan
buz,10,Lavender
bva,23,Gray
bvb,46,Brown
bvc,82,Orange
bvd,63,Purple
bve,70,Gray
bvf,26,Red
bvg,6,Blue
bvh,69,Blue
bvi,90,Purple
bvj,15,Turquoise
bvk,40,White
bvl,14,Orange
bvm,29,Pink
bvn,10,Cyan
bvo,23,Purple
bvp,40,Turquoise
bvq,23,Magenta
bvr,39,Orange
bvs,3,Orange
bvt,80,Turquoise
bvu,88,Orange
bvv,88,White
bvw,55,Brown
bvx,2,Cyan
bvy,22,Red
bvz,19,Brown
bwa,64,Gray
bwb,23,Red
bwc,49,Orange
bwd,42,White
bwe,44,Yellow
bwf,36,Yellow
bwg,83,Cyan
bwh,61,Yellow
bwi,25,Magenta
bwj,17,Purple
bwk,66,Turquoise
bwl,34,Magenta
bwm,16,Yellow
bwn,100,Turquoise
bwo,72,Turquoise
bwp,40,Turquoise
bwq,34,Gray
bwr,0,Yellow
bws,99,Purple
bwt,66,Green
bwu,60,Gray
bwv,20,Blue
bww,29,Purple
bwx,61,Lavender
bwy,49,Red
bwz,56,Black
bxa,72,Black
bxb,84,Pink
bxc,68,Red
bxd,72,Pink
bxe,27,Cyan
bxf,0,Blue
bxg,48,White
bxh,94,Turquoise
bxi,47,Purple
bxj,12,Orange
bxk,71,Yellow
bxl,12,Magenta
bxm,2,Yellow
bxn,0,White
bxo,38,White
bxp,97,Orange
bxq,71,White
bxr,21,Magenta
bxs,63,Blue
bxt,75,Red
bxu,20,White
bxv,60,Cyan
bxw,37,Magenta
bxx,96,Blue
bxy,39,Red
bxz,69,Brown
bya,25,White
byb,91,White
byc,55,Black
byd,72,Magenta
bye,29,Red
byf,31,White
byg,17,Pink
byh,97,Turquoise
byi,53,Blue
byj,97,Pink
byk,88,Gray
byl,19,Gray
bym,82,Cyan
byn,9,Purple
byo,66,Red
byp,93,Brown
byq,70,Cyan
byr,41,Purple
bys,59,Lavender
byt,18,Brown
byu,43,Green
byv,88,Red
byw,27,Gray
byx,22,Magenta
byy,56,Green
byz,26,Red
bza,23,Orange
bzb,47,Lavender
bzc,54,Red
bzd,59,Black
bze,59,Orange
bzf,93,Purple
bzg,46,Lavender
bzh,66,Pink
bzi,62,Magenta
bzj,79,Black
bzk,75,Red
bzl,27,Gray
bzm,94,Yellow
bzn,95,Red
bzo,87,Purple
bzp,90,Orange
bzq,66,Blue
bzr,21,Green
bzs,42,White
bzt,72,Turquoise
bzu,77,Turquoise
bzv,10,Gray
bzw,3,White
bzx,11,Green
bzy,24,Purple
bzz,77,Pink
caa,60,Green
cab,57,Cyan
cac,89,Red
cad,2,Cyan
cae,21,Yellow
caf,64,Brown
cag,38,Orange
cah,11,Gray
cai,17,Turquoise
caj,96,Blue
cak,95,White
cal,5,Gray
cam,87,Yellow
can,76,Red
cao,33,Lavender
cap,64,White
caq,91,Yellow
car,10,White
cas,90,Red
cat,24,Green
cau,55,Black
cav,75,Turquoise
caw,18,Red
cax,27,Yellow
cay,87,Turquoise
caz,65,Brown
cba,36,Yellow
cbb,75,Pink
cbc,0,Cyan
cbd,68,Turquoise
cbe,69,Turquoise
cbf,88,Cyan
cbg,88,Turquoise
cbh,46,Brown
cbi,65,Lavender
cbj,1,Black
cbk,44,Yellow
cbl,14,Blue
cbm,24,Blue
cbn,73,Orange
cbo,50,Orange
cbp,45,Pink
cbq,96,Turquoise
cbr,26,Lavender
cbs,87,Brown
cbt,96,Orange
cbu,7,Cyan
cbv,82,Turquoise
cbw,57,Gray
cbx,70,Lavender
cby,34,Purple
cbz,83,Turquoise
cca,26,Green
ccb,14,Green
ccc,68,Gray
ccd,11,Cyan
cce,81,Red
ccf,55,Brown
ccg,33,Blue
cch,32,Yellow
cci,91,Pink
ccj,23,Green
cck,16,White
ccl,61,Orange
ccm,37,Cyan
ccn,1,Black
cco,71,Black
ccp,41,Magenta
ccq,48,Green
ccr,45,Yellow
ccs,7,Brown
cct,84,Magenta
ccu,92,Brown
ccv,51,Green
ccw,78,Red
ccx,19,Yellow
ccy,83,Brown
ccz,11,Magenta
cda,50,Gray
cdb,32,White
cdc,61,Brown
cdd,47,Lavender
cde,30,Purple
cdf,32,Purple
cdg,94,Lavender
cdh,27,Turquoise
cdi,51,Yellow
cdj,55,White
cdk,15,Orange
cdl,14,Pink
cdm,67,Blue
cdn,7,Purple
cdo,76,Lavender
cdp,33,Brown
cdq,21,Red
cdr,28,Cyan
cds,67,Yellow
cdt,11,Gray
cdu,2,Blue
cdv,72,Purple
cdw,76,Gray
cdx,64,Brown
cdy,92,Black
cdz,31,Orange
cea,34,Cyan
ceb,91,Red
cec,37,Gray
ced,97,Lavender
cee,73,Yellow
cef,90,Green
ceg,31,Green
ceh,8,Gray
cei,57,Cyan
cej,21,Purple
cek,65,Gray
cel,90,Blue
cem,42,Magenta
cen,10,Black
ceo,12,Yellow
cep,91,Black
ceq,29,Red
cer,0,Lavender
ces,79,Green
cet,59,Cyan
ceu,11,Gray
cev,52,Brown
cew,95,Red
cex,45,Orange
cey,60,Orange
