name,decimal,state,year
alb,0.61,Nebraska,1959
ald,0.11,South Carolina,1938
ale,0.55,Georgia,1972
alh,0.77,Missouri,1999
all,0.51,Michigan,1994
aln,0.5,Idaho,2012
alo,0.03,Wyoming,1999
alp,0.38,South Dakota,1920
alq,0.23,Oregon,1949
alr,0.29,Montana,1933
alx,0.37,Missouri,1900
amg,0.94,Colorado,1946
amk,0.59,Florida,1964
aml,0.57,Indiana,1994
amq,0.0,New Hampshire,1901
amx,0.81,New Hampshire,2020
amy,0.93,Maryland,1911
ank,0.96,Rhode Island,1929
anl,0.99,New Jersey,2008
ann,0.1,Montana,1910
ano,0.88,Maine,1981
ant,0.54,Colorado,1904
anw,0.29,New Mexico,1941
anx,0.45,Virginia,1995
aod,0.56,Iowa,1978
aof,0.35,Delaware,1996
aoi,0.31,Alabama,1999
aok,0.65,Pennsylvania,1970
aom,0.2,Kentucky,1940
aor,0.47,California,1916
aov,0.94,Texas,1960
aox,0.22,Idaho,2003
ape,0.78,Arkansas,1975
apj,0.1,Connecticut,1926
apl,0.72,North Dakota,1907
apm,0.78,Idaho,1929
apn,0.19,West Virginia,1907
apq,0.55,New York,1992
apu,0.88,Nevada,1923
apx,0.82,Minnesota,1977
apz,0.83,Virginia,1976
aqb,0.74,New Jersey,2019
aqd,0.68,Oregon,1994
aqe,0.74,Nevada,2023
aqf,0.66,Michigan,1927
aqi,0.51,Nebraska,1913
aql,0.26,Minnesota,1911
aqm,0.42,Florida,1964
aqr,0.9,Nebraska,1977
aqs,0.59,Alabama,2008
aqt,0.15,Nebraska,2002
aqy,0.48,Tennessee,1966
ard,0.88,California,1932
are,0.09,New Jersey,1961
arf,0.01,Hawaii,2019
arh,0.27,Oklahoma,1951
arp,0.67,Kentucky,1976
arr,0.89,Louisiana,1976
ars,0.82,Delaware,1935
aru,0.37,Texas,2001
arx,0.13,Alabama,1945
ary,0.79,Kentucky,1979
arz,0.46,Kansas,2017
asa,0.49,Connecticut,2003
asb,0.03,Indiana,1958
asc,0.0,New York,1970
asd,0.73,Mississippi,1972
asg,0.73,Maine,1922
asi,0.18,Ohio,1921
asl,0.17,Colorado,1951
ast,0.55,Alaska,2000
asv,0.21,Virginia,2005
asw,0.53,New Hampshire,1984
atb,0.43,California,2012
atc,0.97,North Carolina,1936
ath,0.01,Illinois,1908
atj,0.16,Minnesota,2014
atk,0.74,New Hampshire,1970
atn,0.7,Georgia,1979
ato,0.92,Montana,1993
atp,0.28,Rhode Island,1975
atq,0.23,Maryland,1978
atu,0.71,Maine,1955
atw,0.34,Texas,1955
aua,0.26,West Virginia,1932
auc,0.47,Washington,1943
aue,0.53,Rhode Island,1942
aul,0.85,New Mexico,1987
aun,0.45,Illinois,1951
aup,0.54,Vermont,1934
auw,0.13,Minnesota,2017
aux,0.08,Maine,2020
auy,1.0,California,1940
auz,0.87,Massachusetts,1983
ave,0.3,Oklahoma,1967
avg,0.66,Kansas,1989
avj,0.82,Missouri,1940
avk,0.68,New Hampshire,1984
avl,0.85,Montana,1986
avo,0.14,Connecticut,1998
avs,0.15,New Jersey,1983
avu,0.65,Oklahoma,1978
avw,0.65,Massachusetts,1932
avx,0.07,Georgia,1904
awb,0.7,Pennsylvania,1968
awd,0.33,Florida,1995
awf,0.38,North Carolina,1912
awh,0.57,Missouri,1964
awl,0.86,Louisiana,1941
awm,0.55,Wyoming,1939
awr,0.31,Maryland,1915
aws,0.62,Rhode Island,1997
axb,0.48,North Carolina,1992
axe,0.06,New Jersey,1926
axh,0.24,Connecticut,2010
axi,0.94,Alabama,1928
axl,0.84,New Hampshire,1928
axm,0.91,Nebraska,2022
axn,0.52,Delaware,1918
axp,0.89,South Carolina,1918
axq,0.83,Maine,1963
axs,0.96,Alaska,1922
aya,0.5,New Hampshire,1982
ayf,0.64,Nebraska,1918
ayh,0.84,California,1988
ayi,0.86,Nevada,1921
ayj,0.79,Iowa,1925
ayl,0.23,Colorado,1959
ayn,0.55,Arizona,1912
ayo,0.9,Oklahoma,1969
ays,0.05,Oklahoma,1927
ayu,0.45,Nebraska,1937
ayx,0.83,Ohio,1931
ayy,0.26,Georgia,1973
aza,0.38,Kansas,1998
azi,0.31,Oklahoma,1945
azj,0.38,Colorado,1969
azk,0.33,Utah,1924
azm,0.31,Nebraska,1948
azn,0.72,Alabama,1973
azq,0.34,Rhode Island,2011
azu,0.71,West Virginia,1984
azv,0.68,New York,1943
azw,0.85,Oklahoma,1938
azx,0.52,Oregon,1943
azy,0.3,Arkansas,1932
azz,0.86,New York,1973
bac,0.93,Nebraska,2015
bad,0.45,Minnesota,1981
baj,0.24,Illinois,2003
bam,0.52,Maine,2005
ban,0.98,Rhode Island,2017
bao,0.33,North Dakota,1961
baw,0.45,Rhode Island,1991
bax,0.2,Michigan,1928
bba,0.2,Pennsylvania,1946
bbe,0.39,Nevada,2012
bbf,0.13,Oklahoma,1900
bbg,0.4,Colorado,1967
bbj,0.68,Rhode Island,1929
bbl,0.8,Maryland,2012
bbm,0.44,Idaho,2011
bbn,0.77,Massachusetts,1917
bbo,0.01,Pennsylvania,1926
bbs,0.31,Arkansas,1979
bbu,0.15,Alaska,1939
bbw,0.14,Arizona,1970
bcc,0.58,Kentucky,1949
bch,0.57,Minnesota,1901
bcl,0.85,Alaska,2003
bcm,0.14,Wisconsin,1921
bcs,0.26,Idaho,1918
bda,0.11,Iowa,1971
bdc,0.39,New Hampshire,1954
bdf,0.46,Delaware,1988
bdk,0.59,Missouri,1959
bdr,0.4,Kansas,1985
bds,0.25,Arizona,1949
bdt,0.5,Oklahoma,1972
bdw,0.13,Washington,1953
bdx,0.37,Florida,1992
bdy,0.32,Wisconsin,2014
bec,0.62,Florida,1919
bee,0.09,North Dakota,1938
bem,0.16,Tennessee,1981
ben,0.18,Louisiana,1931
beo,0.1,Florida,1965
bep,0.17,South Dakota,1974
ber,0.55,Hawaii,1931
bes,0.29,Oklahoma,1942
bet,0.97,Arkansas,1906
beu,0.85,Nebraska,1987
bez,0.85,Virginia,1974
bfa,0.45,West Virginia,2020
bfb,0.6,Kansas,1962
bfd,0.88,Wisconsin,2011
bfh,0.19,Virginia,1912
bfj,0.32,Georgia,1967
bfn,0.55,Michigan,2007
bft,0.77,Colorado,1963
bfu,0.76,Oregon,1980
bfx,0.05,New Jersey,1936
bfz,0.83,Arkansas,2008
bgb,0.46,Iowa,1955
bgh,0.48,Wyoming,1966
bgl,0.68,Utah,1986
bgm,0.77,Oklahoma,1972
bgq,0.75,North Carolina,1949
bgw,0.25,Missouri,1996
bgz,0.03,Ohio,1955
bha,0.18,Nebraska,2002
bhb,0.0,Michigan,2012
bhf,0.81,Hawaii,2005
bhl,0.21,California,1998
bho,0.73,Alabama,2020
bhp,0.88,Colorado,1940
bhs,0.58,New Hampshire,2007
bhv,0.79,Rhode Island,1904
bhw,0.91,Connecticut,1902
bhz,0.64,Tennessee,1960
bia,0.88,Connecticut,1974
bid,0.56,Kansas,1973
bie,0.33,West Virginia,1983
bif,0.52,Illinois,1911
bij,0.29,Oklahoma,1923
bik,0.92,Arizona,1911
bip,0.71,Michigan,1970
biu,0.54,North Dakota,1926
biw,0.22,Illinois,1916
bja,0.71,Louisiana,1917
bje,0.68,Missouri,2017
bjg,0.27,Iowa,1926
bji,0.91,North Dakota,1982
bjk,0.71,California,2023
bjn,0.64,Alabama,1953
bjo,0.39,Utah,1901
bjq,0.72,Texas,1916
bjv,0.86,New York,1998
bjw,0.17,Oregon,1921
bjy,0.79,Connecticut,1939
bkd,0.68,North Carolina,2012
bke,0.15,Louisiana,1926
bkg,0.99,Hawaii,1946
bki,0.95,Missouri,2007
bkj,0.88,Virginia,2006
bkl,0.8,Nevada,1985
bko,0.55,Oklahoma,1938
bkp,0.67,Texas,2005
bkq,0.38,Montana,1917
bkt,0.36,Idaho,1966
bkx,0.68,Nevada,1980
bla,0.43,South Dakota,1982
bld,0.15,Oregon,2017
blk,0.31,Indiana,1905
bll,0.24,South Dakota,1962
bln,0.53,Georgia,1995
blo,0.69,New Mexico,1925
blp,0.03,New Hampshire,1933
blt,0.61,Alabama,1974
blx,0.14,South Carolina,1941
bmb,0.73,Delaware,1972
bmc,0.87,Kansas,1913
bmf,0.01,South Dakota,2013
bmg,0.92,Kentucky,1920
bmh,0.83,North Carolina,1918
bml,0.7,Wisconsin,1945
bmq,0.11,Oklahoma,1973
bmx,0.35,Oregon,2004
bnb,0.28,Wyoming,1917
bnc,1.0,Texas,1956
bnd,0.94,Missouri,1918
bne,0.83,California,1926
bnh,0.58,Kentucky,1956
bnj,0.12,Rhode Island,1924
bnk,0.41,Oregon,1911
bno,0.09,Utah,1974
bnp,0.47,Missouri,1964
bnr,0.11,North Carolina,1900
bns,0.76,Missouri,1969
bnt,0.32,Virginia,1949
bnu,0.47,Missouri,1973
bnv,0.05,Colorado,1931
bnw,0.29,Nebraska,1914
bob,0.92,New Hampshire,1931
boc,0.97,Pennsylvania,1936
bog,0.49,Illinois,1939
boi,0.66,Mississippi,1941
bou,0.98,Ohio,1911
boz,0.98,Illinois,1955
bpa,0.86,New Mexico,1905
bpb,0.56,Oregon,1940
bpc,0.08,Alaska,1999
bpj,0.58,Wisconsin,1928
bpk,0.94,North Dakota,1941
bpo,0.3,Kansas,2005
bpq,0.99,Virginia,2007
bpu,0.6,Nebraska,1947
bpw,0.08,Missouri,2010
bqe,0.9,Maryland,1929
bqj,0.84,Mississippi,1987
bqk,0.81,Connecticut,1954
bqs,0.94,South Carolina,1915
bqu,0.59,Delaware,1979
bqw,0.6,West Virginia,2012
bqz,0.65,Nevada,2005
brh,0.05,Indiana,2004
brj,0.73,Utah,1984
brr,0.08,Georgia,1953
brt,0.13,New Mexico,1985
brv,0.45,Mississippi,1948
brw,0.43,Illinois,1970
bry,0.44,Missouri,1962
brz,0.23,Delaware,1971
bsc,0.51,Colorado,1993
bse,0.62,Missouri,2018
bsf,0.69,Iowa,2011
bsh,0.37,Mississippi,1967
bsi,0.76,Oklahoma,1985
bsk,0.88,Indiana,1980
bsn,0.38,North Dakota,1923
bsp,0.6,Kentucky,1927
bst,0.21,Missouri,1989
bsv,0.63,North Dakota,2017
bsx,0.38,New York,1925
bsz,0.88,Montana,1925
bta,0.88,Alabama,1930
btc,0.89,Maryland,1912
btd,0.39,Maine,1965
bti,0.64,Florida,2002
btp,0.07,Hawaii,2017
btq,0.33,Wyoming,1919
bts,0.25,Maine,1992
btv,0.03,Pennsylvania,1908
bud,0.97,North Dakota,1971
buf,0.02,Tennessee,1982
buj,0.16,New York,1955
bum,0.79,Vermont,1946
buq,0.63,Oklahoma,1944
but,0.83,Alaska,1919
buv,0.0,Montana,1965
bux,0.82,Kansas,2017
buy,0.88,West Virginia,1902
bva,0.68,Tennessee,1990
bvk,0.8,New Hampshire,1988
bvl,0.75,New Hampshire,1913
bvm,0.39,Maryland,1963
bvn,0.31,Nebraska,1972
bvp,0.96,New York,1936
bvq,0.11,Michigan,1930
bvx,0.53,California,2003
bvz,0.42,Ohio,1900
bwb,0.01,North Dakota,1997
bwh,0.4,Pennsylvania,1917
bwi,0.78,Nebraska,2012
bwj,0.57,North Dakota,1901
bwl,0.56,Arizona,1924
bwo,0.32,New Hampshire,1988
bwp,0.45,Alaska,1967
bwu,0.52,Washington,1920
bwx,0.23,Minnesota,2008
bxf,0.63,Michigan,1931
bxg,0.63,Michigan,1907
bxh,0.59,Nevada,1930
bxk,0.32,North Carolina,2007
bxl,0.65,Idaho,1979
bxn,0.13,Connecticut,1939
bxo,0.32,Minnesota,1962
bxq,0.37,Ohio,1926
bxr,0.0,Ohio,1965
bxx,0.88,Alaska,1927
bxy,0.67,Nebraska,1975
byb,0.28,West Virginia,1922
byc,0.9,Vermont,2011
byd,0.7,Missouri,1986
byg,0.32,South Carolina,2012
byi,0.75,Connecticut,2016
byk,0.69,Idaho,1915
byl,0.11,Louisiana,1918
byn,0.77,Washington,1904
byq,0.47,Minnesota,1944
byr,0.78,Hawaii,1903
byw,0.47,North Carolina,1926
byy,0.13,West Virginia,1996
byz,0.42,Indiana,2021
bza,0.75,Pennsylvania,1929
bzc,0.18,Maryland,1948
bzd,0.75,Delaware,1952
bze,0.15,Nevada,1900
bzl,0.21,California,1900
bzm,0.32,South Dakota,1985
bzo,0.58,Arkansas,2008
bzp,0.71,Idaho,1919
bzr,0.32,Oregon,1962
bzt,0.75,Indiana,1975
bzx,0.73,Rhode Island,1960
bzy,0.17,Oklahoma,1985
bzz,0.56,Iowa,2015
caa,0.17,South Dakota,1916
cad,0.86,New York,2021
cae,0.41,Kentucky,1905
caj,0.96,New York,1938
cam,0.11,Utah,1955
cap,0.82,Ohio,1992
cas,0.71,Vermont,1999
cat,0.75,South Dakota,1939
cav,0.29,Mississippi,1903
cay,0.44,Pennsylvania,1922
cbe,0.65,Louisiana,1945
cbg,0.12,Wisconsin,1948
cbh,0.78,Georgia,1996
cbi,0.72,Nebraska,1999
cbl,0.52,Vermont,1961
cbn,0.95,Alaska,1939
cbo,0.76,Connecticut,2004
cbr,0.49,Montana,1987
cbu,0.14,Texas,1998
cbz,0.38,Illinois,1928
cch,0.0,New Hampshire,1937
cci,0.74,Ohio,1920
ccj,0.06,Louisiana,2019
cck,0.29,Oklahoma,1916
ccm,0.45,Iowa,2002
cco,0.4,West Virginia,1975
ccp,0.31,South Carolina,1913
ccr,0.75,Kentucky,2021
ccs,0.87,Rhode Island,1976
ccv,0.82,Massachusetts,1976
ccx,0.2,Ohio,1987
ccz,0.95,Indiana,1972
cda,0.31,South Dakota,1938
cdb,0.2,Alaska,1980
cdd,0.0,Washington,1975
cde,0.7,Minnesota,1909
cdg,0.43,Illinois,2012
cdh,0.58,Virginia,1929
cdk,0.01,Michigan,1973
cdp,0.87,Rhode Island,1998
cdr,0.04,Rhode Island,2014
cdt,0.65,Rhode Island,1941
cdw,0.93,Alabama,1945
cdx,0.45,Montana,2005
cdz,0.51,Rhode Island,1955
cef,0.69,Michigan,1977
cem,0.31,Nebraska,1987
cet,0.57,Iowa,1960
ceu,0.77,Delaware,1919
cev,0.56,Oklahoma,1970
cex,0.15,California,1902
cfb,0.57,Virginia,2001
cfd,0.71,Louisiana,1914
cfj,0.85,Rhode Island,2006
cfl,0.23,Massachusetts,1964
cfm,0.99,Arizona,2022
cfo,0.69,Georgia,1937
cfs,0.91,Rhode Island,1910
cfw,0.38,Nebraska,1910
cfz,0.77,California,1926
cga,0.43,North Dakota,1926
cgb,0.51,Idaho,1973
cgd,0.06,Nevada,1917
cgg,0.69,Mississippi,2002
cgh,0.49,Illinois,1982
cgk,0.2,Texas,1975
cgl,0.6,Wyoming,2023
cgm,0.01,Nebraska,1976
cgn,0.07,Mississippi,2019
cgo,0.51,California,1994
cgp,0.86,Wyoming,1927
cgr,0.94,Texas,2012
cgt,0.49,Pennsylvania,1901
cgu,0.08,Wisconsin,2009
chc,0.84,Wisconsin,1923
chd,0.32,Texas,1939
chg,0.46,Arizona,1905
chh,0.82,Iowa,1922
chp,0.93,West Virginia,1945
chq,0.83,New Mexico,1912
chs,0.99,Idaho,2006
chw,0.77,Arizona,1996
chy,0.49,New York,1911
chz,0.76,Kansas,1904
cib,0.18,Michigan,1903
cid,0.51,Colorado,1968
cif,0.32,Washington,1936
cig,0.43,Tennessee,1968
cim,0.0,Montana,1985
cir,0.27,Iowa,1997
cis,0.76,Idaho,1941
cit,0.49,South Carolina,2008
ciu,0.29,Missouri,2021
civ,0.42,Mississippi,1977
ciy,0.1,Kentucky,1920
ciz,0.32,Kentucky,1984
cja,0.8,Rhode Island,1927
cjg,0.66,Massachusetts,1921
cjj,0.13,Kentucky,2017
cjl,0.0,Kentucky,1970
cjs,0.37,Maryland,1905
cjv,0.57,Minnesota,1901
cjw,0.17,Vermont,2013
cjz,0.17,California,1946
cka,0.56,Minnesota,1965
ckb,0.08,Washington,2008
ckc,0.38,South Dakota,1941
ckd,0.2,Michigan,1918
ckl,0.51,Delaware,2016
cku,0.69,Hawaii,1960
ckv,0.26,Washington,2005
ckw,0.76,New Hampshire,1996
ckx,0.85,Wyoming,1935
cky,0.73,Oregon,2008
clf,0.74,Oklahoma,1910
cli,0.88,Alaska,1944
clk,0.73,Wisconsin,1965
cln,0.09,Pennsylvania,2008
clr,0.55,Kentucky,1936
clt,0.59,Kentucky,1963
clw,0.32,Idaho,2006
clz,0.55,Delaware,1910
cmb,0.64,Arizona,1909
cmc,0.32,Washington,1964
cme,0.12,New Hampshire,1921
cmf,0.24,Illinois,1992
cmh,0.38,Wisconsin,1946
cmj,0.38,North Carolina,2021
cmn,0.98,Alabama,1995
cmq,0.94,Oregon,1973
cmt,0.16,North Dakota,1956
cmu,0.69,Alaska,1924
cmw,0.83,Massachusetts,1984
cmx,0.36,Virginia,1999
cnf,0.36,Louisiana,1925
cnk,0.91,Texas,2004
cnl,0.26,Oklahoma,1917
cnm,0.83,Rhode Island,1948
cnp,0.69,Louisiana,1997
cnq,0.76,Montana,1961
cnr,0.94,Colorado,2022
cnx,0.58,South Carolina,1912
cny,0.24,Delaware,1975
cog,0.73,Massachusetts,1938
coj,0.79,Colorado,1962
col,0.16,Delaware,1965
coo,0.4,Oregon,2000
coq,0.84,New Jersey,1955
cor,0.5,Hawaii,2004
cos,0.07,Texas,2013
cou,0.09,Ohio,2021
coz,0.62,Kentucky,1977
cpb,0.71,Connecticut,1956
cpd,0.33,Arkansas,1932
cpf,0.56,Maryland,2016
cph,0.02,Hawaii,1932
cpi,0.42,New Jersey,1949
cpk,0.65,Colorado,1970
cpl,0.73,Kentucky,1927
cpm,0.07,Iowa,1995
cpr,0.92,Pennsylvania,2009
cpy,0.56,Arkansas,1960
cqg,0.69,Kentucky,1993
cqh,0.75,Indiana,1965
cql,0.82,Hawaii,1923
cqm,0.18,South Dakota,1915
cqo,0.09,New York,1939
cqr,0.33,Idaho,1946
cqs,0.53,Minnesota,1961
cqt,0.04,New Hampshire,1997
cqu,0.97,Hawaii,1945
cqy,0.09,Arizona,2019
cqz,0.18,Minnesota,1958
crb,0.41,Vermont,1950
crc,0.82,Indiana,1974
crh,0.35,Mississippi,1990
cri,0.23,Nevada,2018
crj,0.38,Colorado,1950
crk,0.0,New Hampshire,1989
crm,0.84,Texas,1968
crq,0.38,Vermont,1995
crt,0.89,Oregon,2004
crv,0.98,Maine,1982
crw,0.9,South Carolina,2002
crx,0.55,Alabama,1974
cry,0.7,Washington,1946
csb,0.84,Pennsylvania,1901
csg,0.94,Texas,1930
csh,0.07,Wisconsin,2003
csl,0.46,North Dakota,1902
csn,0.1,Michigan,1942
csr,0.99,Mississippi,1926
css,0.37,Louisiana,1965
cst,0.29,Oregon,1947
csy,0.59,Idaho,1904
ctd,0.38,Kentucky,1905
cth,0.2,Rhode Island,1950
cti,0.55,Maine,1994
ctk,0.55,Maine,2004
ctl,0.87,Missouri,1980
ctp,0.53,Wyoming,1956
ctq,0.64,Indiana,1953
cts,0.96,Kentucky,1905
ctw,0.28,Massachusetts,1970
cty,0.19,Idaho,1941
ctz,0.46,West Virginia,1967
cua,0.2,Nebraska,1977
cub,0.33,Nevada,1903
cuc,0.42,South Carolina,1917
cui,0.6,Hawaii,1923
cuk,0.93,West Virginia,2006
cur,0.38,Nebraska,1977
cux,0.36,Missouri,1992
cuy,0.93,Virginia,1931
cva,0.06,Michigan,1915
cvb,0.43,Iowa,1900
cvc,0.05,California,1929
cvh,0.32,Nevada,2012
cvj,0.36,Washington,1996
cvl,0.74,Florida,1943
cvm,0.0,Wisconsin,1930
cvp,0.22,Ohio,1942
cvq,0.47,Ohio,1996
cvr,0.67,Tennessee,1959
cwa,0.03,Arizona,2004
cwd,0.69,Michigan,1911
cwl,0.54,Louisiana,1933
cwo,0.34,Florida,1984
cwp,0.07,Michigan,1972
cwq,0.92,New Mexico,2010
cww,0.23,West Virginia,1988
cxe,0.03,Georgia,1948
cxf,0.27,Vermont,1901
cxh,0.12,South Dakota,1976
cxl,0.11,Hawaii,1974
cxq,0.99,Hawaii,1971
cxz,0.3,Idaho,1974
cyd,0.92,Mississippi,1984
cyf,0.79,Idaho,1910
cyg,0.9,Wyoming,1923
cyk,0.33,North Dakota,1941
cym,0.81,New York,1930
cyn,0.69,Hawaii,1979
cyr,0.05,Maryland,1902
cys,0.46,Georgia,1944
cyt,0.89,Maryland,1916
cyu,0.99,Oregon,1930
cza,0.69,Idaho,1900
czd,0.19,Ohio,1933
czm,0.1,Alabama,1984
czo,0.76,Iowa,1946
czq,0.74,Tennessee,2006
czr,0.08,Colorado,1974
czu,0.11,Arizona,2009
czv,0.78,Utah,1968
czx,0.82,Colorado,1924
czz,0.07,Georgia,1945
dab,0.18,Tennessee,1990
dae,0.47,Iowa,2000
daf,0.72,Washington,2007
dag,0.05,Utah,2006
dal,0.91,Pennsylvania,1913
dam,0.13,New Hampshire,1938
dan,0.82,Oregon,1991
daq,0.34,Missouri,1980
dar,0.4,Arkansas,1955
dat,0.09,Kansas,1929
dav,0.13,Arkansas,1997
dax,0.0,Alaska,2015
dba,0.42,Montana,1950
dbg,0.2,Michigan,1990
dbh,0.4,Nebraska,2000
dbm,0.72,Indiana,1922
dbs,0.18,West Virginia,1968
dbu,0.06,West Virginia,2002
dbv,0.39,Maine,1927
dbx,0.51,New Hampshire,1998
dby,0.2,North Carolina,1905
dcb,0.48,Pennsylvania,2001
dcc,0.28,Alaska,2019
dck,0.24,Louisiana,1925
dcl,0.66,Georgia,1944
dcm,0.68,Hawaii,2005
dco,0.1,North Carolina,1942
dcq,0.58,Missouri,2003
dcs,0.85,Arizona,1932
dct,0.4,Montana,1903
dcu,0.99,Colorado,1908
dcw,0.47,New Hampshire,2001
dcy,0.13,Utah,1960
ddb,0.18,Missouri,1953
ddc,0.9,Oklahoma,2008
ddf,0.39,Montana,1979
ddq,0.88,North Carolina,1940
ddr,0.29,Iowa,1968
ddu,0.91,California,1903
ddv,0.3,Illinois,1934
ddy,0.76,Illinois,1970
dea,0.47,Alaska,1949
deb,0.62,Minnesota,1988
ded,0.19,Maine,1924
dem,0.92,Rhode Island,1904
den,0.49,Nevada,1940
deo,0.96,Nebraska,1924
dep,0.53,Indiana,1989
deq,0.02,Nevada,2009
der,0.91,Washington,1930
det,0.6,Massachusetts,1975
dev,0.31,Louisiana,1963
dfa,0.62,New Mexico,2007
dfc,0.02,South Dakota,1933
dfg,0.43,Michigan,2001
dfh,0.31,Rhode Island,1951
dfk,0.95,Oklahoma,1914
dfo,0.38,Wyoming,1982
dfp,0.53,Ohio,2020
dfr,0.66,Iowa,1922
dfv,0.32,Arkansas,1933
dfw,0.77,Alabama,2011
dfy,0.6,Indiana,1931
dgd,0.58,South Carolina,1900
dge,0.4,Illinois,1963
dgf,0.2,New Hampshire,1976
dgj,0.37,Texas,1949
dgl,0.72,Iowa,1944
dgs,0.65,Nevada,1904
dgu,0.18,North Carolina,1928
dgw,0.86,Arkansas,1943
dhf,0.28,Idaho,1970
dhi,0.13,Michigan,2012
dhp,0.38,Louisiana,1983
dhs,0.4,Connecticut,2007
dhv,0.84,Indiana,1958
dhx,0.72,North Dakota,1924
dhz,0.18,West Virginia,1939
dib,0.99,Rhode Island,2014
die,0.55,Montana,1977
dif,0.04,Idaho,2008
dip,0.86,Kansas,2015
diq,0.24,Connecticut,1920
dis,0.09,Alabama,1979
dit,0.66,Idaho,1943
div,0.3,Georgia,1998
dix,0.28,Arkansas,1951
diy,0.92,North Dakota,1947
dja,0.45,Virginia,2010
djb,0.15,Indiana,1944
djc,0.09,Colorado,1928
djf,0.71,Kentucky,1935
djg,0.69,Colorado,1907
dji,0.43,Michigan,1938
djl,0.07,Indiana,1948
djm,0.28,Rhode Island,1958
djn,0.42,Wyoming,1956
djp,0.05,Louisiana,1940
djx,0.15,Utah,1970
djz,0.71,Delaware,2008
dki,0.31,Arizona,2008
dkm,0.05,Indiana,1931
dkt,0.75,Minnesota,1962
dky,0.34,Utah,1949
dkz,0.75,Vermont,1933
dlb,0.33,Wisconsin,1990
dlc,0.6,Louisiana,1903
dld,0.36,Tennessee,2006
dlj,0.16,New York,1903
dlo,0.03,Iowa,1932
dls,0.48,Tennessee,1962
dlt,0.52,Michigan,1915
dly,0.43,California,1904
dma,0.79,Washington,1924
dmb,0.99,Mississippi,1967
dmc,0.58,Massachusetts,2003
dmd,0.73,Nebraska,1978
dme,0.27,Massachusetts,1940
dmf,0.37,Alabama,2016
dmi,0.61,North Carolina,1926
dmk,0.33,Connecticut,1907
dml,0.28,Kansas,1904
dmn,0.26,Idaho,1956
dmq,0.24,Maryland,1910
dms,0.58,Idaho,1992
dmt,0.88,South Carolina,1920
dmw,0.18,Michigan,1917
dmz,0.32,Missouri,2019
dnb,0.12,Georgia,1947
dnc,0.89,Arkansas,1971
