Letter,Number,Color
aiz,84,Magenta
aja,38,Red
ajb,2,Pink
ajc,64,Gray
ajd,26,Brown
aje,22,Green
ajf,96,Pink
ajg,60,Black
ajh,81,Magenta
aji,97,Orange
ajj,66,Lavender
ajk,6,Purple
ajl,95,Brown
ajm,27,Magenta
ajn,52,White
ajo,85,Purple
ajp,9,Black
ajq,86,Magenta
ajr,1,White
ajs,76,Black
ajt,61,Turquoise
aju,29,Lavender
ajv,50,Red
ajw,22,Turquoise
ajx,34,Pink
ajy,8,Blue
ajz,92,Lavender
aka,51,Pink
akb,56,Turquoise
akc,26,Turquoise
akd,80,Black
ake,96,Magenta
akf,20,Yellow
akg,80,Orange
akh,73,Blue
aki,26,White
akj,7,Turquoise
akk,98,Green
akl,21,Lavender
akm,56,Blue
akn,94,Magenta
ako,98,Red
akp,96,Turquoise
akq,2,Pink
akr,100,Yellow
aks,89,Brown
akt,63,Yellow
aku,35,Orange
akv,11,Gray
akw,25,Black
akx,50,Turquoise
aky,70,Pink
akz,2,Yellow
ala,31,Purple
alb,52,Lavender
alc,9,Purple
ald,77,Pink
ale,70,Cyan
alf,66,Red
alg,15,Turquoise
alh,30,Turquoise
ali,68,Yellow
alj,65,Lavender
alk,39,Magenta
all,75,Gray
alm,11,Red
aln,0,Green
alo,100,Orange
alp,1,Green
alq,86,Gray
alr,75,Yellow
als,68,Blue
alt,11,Magenta
alu,27,Gray
alv,27,Cyan
alw,53,Gray
alx,25,Turquoise
aly,77,Gray
alz,74,Orange
ama,18,Red
amb,45,Turquoise
amc,53,Yellow
amd,8,Cyan
ame,38,White
amf,81,Yellow
amg,14,Magenta
amh,48,White
ami,85,Red
amj,100,Magenta
amk,73,Purple
aml,90,Black
amm,43,Pink
amn,50,Black
amo,15,Green
amp,65,Magenta
amq,41,Red
amr,29,Cyan
ams,93,White
amt,31,Turquoise
amu,0,Orange
amv,89,Turquoise
amw,49,Turquoise
amx,17,Lavender
amy,77,Lavender
amz,30,Turquoise
ana,76,Brown
anb,25,Turquoise
anc,78,Magenta
and,1,Cyan
ane,52,Green
anf,10,Pink
ang,19,Cyan
anh,79,Purple
ani,87,Orange
anj,85,Cyan
ank,50,Turquoise
anl,98,Turquoise
anm,56,Magenta
ann,92,Cyan
ano,72,Turquoise
anp,81,Orange
anq,12,Gray
anr,24,Orange
ans,47,White
ant,53,Yellow
anu,19,Green
anv,59,Black
anw,60,Magenta
anx,98,Brown
any,26,Black
anz,32,Red
aoa,58,Orange
aob,73,Magenta
aoc,44,Green
aod,50,Purple
aoe,67,Blue
aof,4,Red
aog,25,Purple
aoh,22,Black
aoi,33,Yellow
aoj,72,Green
aok,55,Gray
aol,91,Brown
aom,88,Magenta
aon,12,Black
aoo,6,Orange
aop,67,Purple
aoq,21,Orange
aor,65,Black
aos,88,Orange
aot,9,White
aou,61,Yellow
aov,38,Black
aow,94,Cyan
aox,8,Cyan
aoy,18,Yellow
aoz,7,Gray
apa,13,Black
apb,34,Brown
apc,47,Turquoise
apd,58,Brown
ape,2,Blue
apf,35,Pink
apg,23,Cyan
aph,24,Purple
api,26,Red
apj,55,Pink
apk,87,Black
apl,81,Red
apm,32,Magenta
apn,96,Cyan
apo,54,Pink
app,40,Yellow
apq,34,Gray
apr,11,Pink
aps,18,Pink
apt,43,White
apu,0,Green
apv,61,White
apw,79,Pink
apx,10,Cyan
apy,4,Green
apz,18,Brown
aqa,3,Green
aqb,77,Orange
aqc,65,Red
aqd,83,Yellow
aqe,6,Cyan
aqf,53,Magenta
aqg,71,Cyan
aqh,5,Red
aqi,92,Gray
aqj,75,White
aqk,2,Red
aql,76,Pink
aqm,30,Turquoise
aqn,25,Black
aqo,59,Lavender
aqp,84,Orange
aqq,88,Brown
aqr,3,Blue
aqs,56,Purple
aqt,2,Blue
aqu,3,Purple
aqv,1,White
aqw,22,Magenta
aqx,2,Lavender
aqy,38,Brown
aqz,32,Cyan
ara,60,Black
arb,32,Black
arc,68,Turquoise
ard,92,Yellow
are,31,Cyan
arf,94,Purple
arg,10,Cyan
arh,84,Pink
ari,15,Red
arj,17,Lavender
ark,9,Pink
arl,26,Red
arm,40,Magenta
arn,63,Lavender
aro,46,Brown
arp,2,Purple
arq,34,Red
arr,98,Pink
ars,76,Orange
art,46,Lavender
aru,18,White
arv,32,Lavender
arw,76,Black
arx,45,Orange
ary,74,Cyan
arz,66,Cyan
asa,68,White
asb,79,Yellow
asc,45,Orange
asd,84,Gray
ase,6,Lavender
asf,94,Red
asg,86,Yellow
ash,32,Black
asi,45,Orange
asj,70,Gray
ask,56,Turquoise
asl,69,Cyan
asm,14,Red
asn,78,Lavender
aso,32,Lavender
asp,29,Black
asq,58,Yellow
asr,13,White
ass,98,Magenta
ast,47,Red
asu,45,Purple
asv,40,Turquoise
asw,18,Black
asx,83,Green
asy,42,White
asz,12,Green
ata,26,Lavender
atb,46,Magenta
atc,28,Green
atd,95,Black
ate,85,Green
atf,23,Turquoise
atg,97,Turquoise
ath,67,Blue
ati,35,Cyan
atj,93,White
atk,55,Turquoise
atl,42,Cyan
atm,80,Gray
atn,94,Pink
ato,10,Pink
atp,44,Yellow
atq,46,Orange
atr,28,Gray
ats,28,Brown
att,66,Cyan
atu,43,Orange
atv,49,Blue
atw,85,Turquoise
atx,7,White
aty,89,Gray
atz,15,Magenta
aua,97,Cyan
aub,18,Orange
auc,47,Turquoise
aud,73,Magenta
aue,76,Yellow
auf,74,Yellow
aug,53,Orange
auh,90,Brown
aui,56,Orange
auj,23,Yellow
auk,31,White
aul,83,Turquoise
aum,13,Cyan
aun,75,White
auo,58,Orange
aup,48,Lavender
auq,35,Magenta
aur,94,Pink
aus,19,Yellow
aut,40,Magenta
auu,13,White
auv,49,Cyan
auw,4,Lavender
aux,59,Pink
auy,63,Purple
auz,81,Green
ava,60,Cyan
avb,65,Black
avc,84,Magenta
avd,43,Brown
ave,53,Black
avf,91,Black
avg,63,Turquoise
avh,29,Yellow
avi,13,Green
avj,87,Turquoise
avk,3,Black
avl,43,Turquoise
avm,87,White
avn,65,Yellow
avo,30,Orange
avp,80,Turquoise
avq,27,Black
avr,57,Cyan
avs,95,Lavender
avt,75,Yellow
avu,68,Orange
avv,84,White
avw,39,Red
avx,65,Orange
avy,13,Red
avz,78,Black
awa,90,Red
awb,1,Gray
awc,32,Purple
awd,41,Pink
awe,74,Magenta
awf,100,Pink
awg,13,Pink
awh,57,Magenta
awi,43,Purple
awj,92,Red
awk,98,Black
awl,89,White
awm,18,Turquoise
awn,32,Turquoise
awo,48,White
awp,42,Gray
awq,70,Brown
awr,19,Green
aws,57,Red
awt,9,Magenta
awu,88,Magenta
awv,13,Brown
aww,53,White
awx,77,Brown
awy,39,White
awz,75,Cyan
axa,90,Green
axb,73,Lavender
axc,3,White
axd,59,Blue
axe,41,Orange
axf,89,Yellow
axg,42,Gray
axh,47,Magenta
axi,70,Brown
axj,93,Purple
axk,94,Red
axl,30,Red
axm,62,Red
axn,33,Magenta
axo,52,Lavender
axp,12,Cyan
axq,68,Lavender
axr,44,Magenta
axs,33,Orange
axt,63,Purple
axu,75,Magenta
axv,4,Pink
axw,100,Orange
axx,18,Black
axy,7,Lavender
axz,86,Red
aya,19,White
ayb,46,Orange
ayc,97,Cyan
ayd,4,White
aye,33,Brown
ayf,99,Purple
ayg,78,Blue
ayh,58,Red
ayi,0,Yellow
ayj,80,Magenta
ayk,40,Purple
ayl,35,Brown
aym,64,Gray
ayn,42,Gray
ayo,42,Green
ayp,66,Purple
ayq,80,White
ayr,52,Magenta
ays,50,Yellow
ayt,43,White
ayu,25,Gray
ayv,20,Gray
ayw,24,Purple
ayx,64,White
ayy,99,Orange
ayz,52,Yellow
aza,36,Green
azb,38,Brown
azc,42,Pink
azd,30,Pink
aze,76,Gray
azf,86,Blue
azg,44,Yellow
azh,36,Yellow
azi,94,Orange
azj,42,Orange
azk,6,Brown
azl,81,Lavender
azm,40,Magenta
azn,44,Black
azo,78,Black
azp,2,Magenta
azq,37,Lavender
azr,36,Yellow
azs,37,Brown
azt,11,Red
azu,53,Blue
azv,91,Gray
azw,74,Purple
azx,78,Magenta
azy,84,Orange
azz,97,Magenta
baa,5,White
bab,1,Gray
bac,12,Lavender
bad,18,Blue
bae,72,Green
baf,57,White
bag,30,Pink
bah,72,Brown
bai,88,Pink
baj,84,Magenta
bak,85,Purple
bal,11,Green
bam,23,Green
ban,63,Pink
bao,13,Orange
bap,22,Lavender
baq,68,Gray
bar,51,Brown
bas,74,Lavender
bat,74,Red
bau,22,White
bav,21,Purple
baw,26,Gray
bax,23,Pink
bay,49,Pink
baz,15,Red
bba,7,Magenta
bbb,52,Brown
bbc,38,Blue
bbd,96,Pink
bbe,76,Orange
bbf,86,Cyan
bbg,35,Yellow
bbh,81,Purple
bbi,42,Red
bbj,73,Green
bbk,42,White
bbl,69,Pink
bbm,62,Pink
bbn,16,Lavender
bbo,23,Cyan
bbp,89,Pink
bbq,14,Magenta
bbr,95,Pink
bbs,7,Purple
bbt,10,Orange
bbu,3,Black
bbv,81,Lavender
bbw,15,Black
bbx,96,Cyan
bby,7,Yellow
bbz,72,Lavender
bca,11,Pink
bcb,41,Pink
bcc,82,Black
bcd,93,Cyan
bce,77,Orange
bcf,24,Lavender
bcg,47,Gray
bch,6,Magenta
bci,46,Orange
bcj,4,Gray
bck,85,Orange
bcl,53,Purple
bcm,79,Blue
bcn,54,Blue
bco,95,Purple
bcp,98,Yellow
bcq,67,Black
bcr,18,Pink
bcs,12,Purple
bct,11,Orange
bcu,77,Blue
bcv,28,Black
bcw,13,Green
bcx,0,Gray
bcy,50,Lavender
bcz,22,Black
bda,8,Lavender
bdb,56,Black
bdc,94,Green
bdd,70,Orange
bde,2,Pink
bdf,55,Yellow
bdg,20,Orange
bdh,10,Turquoise
bdi,16,White
bdj,8,Blue
bdk,52,Red
bdl,79,Blue
bdm,41,Pink
bdn,54,Turquoise
bdo,99,Cyan
bdp,35,Green
bdq,7,Blue
bdr,36,Magenta
bds,95,Brown
bdt,34,Brown
bdu,88,Red
bdv,58,Lavender
bdw,45,Red
bdx,11,White
bdy,79,Brown
bdz,53,Lavender
bea,36,Pink
beb,27,Purple
bec,22,Magenta
bed,18,Yellow
bee,92,Pink
bef,92,Lavender
beg,37,Magenta
beh,90,Brown
bei,5,Green
bej,57,White
bek,0,Turquoise
bel,55,Pink
bem,37,Red
ben,83,Orange
beo,47,Red
bep,42,White
beq,22,Turquoise
ber,72,Pink
bes,91,Gray
bet,49,Blue
beu,44,Green
bev,20,Brown
bew,76,White
bex,70,Orange
bey,64,Yellow
bez,66,Magenta
bfa,65,White
bfb,15,White
bfc,83,Turquoise
bfd,25,Red
bfe,15,Black
bff,18,Cyan
bfg,89,Yellow
bfh,63,Black
bfi,19,Gray
bfj,27,Purple
bfk,39,Gray
bfl,0,Purple
bfm,72,Brown
bfn,56,Red
bfo,18,Magenta
bfp,26,Gray
bfq,62,Pink
bfr,74,Magenta
bfs,26,Yellow
bft,6,Orange
bfu,81,Pink
bfv,82,Brown
bfw,60,Lavender
bfx,22,Cyan
bfy,64,Purple
bfz,56,Red
bga,0,Green
bgb,82,Green
bgc,23,Yellow
bgd,35,White
bge,72,Cyan
bgf,22,Turquoise
bgg,24,Brown
bgh,13,Turquoise
bgi,97,Gray
bgj,78,Yellow
bgk,7,Cyan
bgl,7,Cyan
bgm,53,Pink
bgn,20,Green
bgo,18,Gray
bgp,84,Cyan
bgq,62,Red
bgr,28,Yellow
bgs,25,Black
bgt,81,Gray
bgu,6,Purple
bgv,98,Turquoise
bgw,40,Blue
bgx,48,Green
bgy,67,Purple
bgz,57,Cyan
bha,20,Green
bhb,22,Cyan
bhc,60,Pink
bhd,90,Purple
bhe,61,Cyan
bhf,91,Yellow
bhg,77,Red
bhh,100,Brown
bhi,25,Red
bhj,49,Red
bhk,3,Lavender
bhl,43,White
bhm,32,Orange
bhn,5,Black
bho,45,Yellow
bhp,24,Orange
bhq,16,Brown
bhr,23,Cyan
bhs,23,Lavender
bht,69,Turquoise
bhu,73,Red
bhv,7,Blue
bhw,97,Yellow
bhx,2,Turquoise
bhy,13,Blue
bhz,25,White
bia,81,Gray
bib,13,Orange
bic,30,Gray
bid,97,Purple
bie,15,Cyan
bif,100,Turquoise
big,40,Gray
bih,69,White
bii,78,Green
bij,54,Brown
bik,78,Yellow
bil,52,Red
bim,29,Magenta
bin,55,Purple
bio,62,Pink
bip,71,Cyan
biq,21,Yellow
bir,76,Magenta
bis,9,Turquoise
bit,71,Black
biu,77,Orange
biv,92,Magenta
biw,28,Turquoise
bix,57,White
biy,47,Brown
biz,38,Pink
bja,82,Magenta
bjb,11,Yellow
bjc,32,Purple
bjd,37,Brown
bje,62,Red
bjf,99,Red
bjg,85,Yellow
bjh,30,Turquoise
bji,19,Orange
bjj,33,Green
bjk,78,Purple
bjl,7,Gray
bjm,89,Lavender
bjn,48,White
bjo,14,Green
bjp,4,Pink
bjq,36,Red
bjr,29,Gray
bjs,7,Green
bjt,38,Lavender
bju,91,Black
bjv,36,Cyan
bjw,97,Black
bjx,88,Lavender
bjy,30,Pink
bjz,34,Red
bka,79,Purple
bkb,11,Green
bkc,54,Green
bkd,90,Cyan
bke,44,Magenta
bkf,1,Turquoise
bkg,66,Purple
bkh,91,Purple
bki,75,Magenta
bkj,7,Orange
bkk,61,Cyan
bkl,77,Orange
bkm,97,Cyan
bkn,35,White
bko,83,Brown
bkp,29,Gray
bkq,90,Brown
bkr,99,Green
bks,36,Red
bkt,73,Orange
bku,63,Black
bkv,78,Gray
bkw,52,White
bkx,53,Cyan
bky,70,Orange
bkz,27,Green
bla,0,Gray
blb,97,Green
blc,84,Red
bld,86,Pink
ble,57,Green
blf,17,Turquoise
blg,71,Blue
blh,73,Yellow
bli,68,Black
blj,28,Orange
blk,16,White
bll,76,Red
blm,74,Purple
bln,18,Lavender
blo,93,White
blp,30,Cyan
blq,89,Turquoise
blr,27,Yellow
bls,25,Red
blt,36,Brown
blu,59,Black
blv,8,Pink
blw,45,Brown
blx,97,Lavender
bly,84,Brown
blz,92,Green
bma,23,Green
bmb,79,Turquoise
bmc,22,Lavender
bmd,72,Magenta
bme,71,Blue
bmf,32,Green
bmg,66,Blue
bmh,1,Brown
bmi,91,Red
bmj,54,Purple
bmk,12,Purple
bml,11,Yellow
bmm,48,White
bmn,23,Gray
bmo,95,Gray
bmp,83,Black
bmq,95,Gray
bmr,77,Turquoise
bms,2,Yellow
bmt,65,Green
bmu,10,Green
bmv,35,Yellow
bmw,1,Green
bmx,73,Magenta
bmy,39,Lavender
bmz,98,Black
bna,7,Brown
bnb,40,Blue
bnc,85,Magenta
bnd,39,Green
bne,61,Lavender
bnf,86,Purple
bng,91,Blue
bnh,53,Gray
bni,55,Cyan
bnj,65,Magenta
bnk,34,Orange
bnl,5,Magenta
bnm,27,Black
bnn,31,Lavender
bno,70,Brown
bnp,54,Turquoise
bnq,65,Magenta
bnr,9,Orange
bns,58,Lavender
bnt,94,Black
bnu,83,Blue
bnv,62,Pink
bnw,46,Yellow
bnx,97,Yellow
bny,32,White
bnz,36,Yellow
boa,74,Turquoise
bob,44,Black
boc,8,Yellow
bod,100,Orange
boe,81,Green
bof,42,Lavender
bog,24,Turquoise
boh,19,Purple
boi,32,Purple
boj,62,Turquoise
bok,71,Cyan
bol,17,Pink
bom,97,Cyan
bon,21,Brown
boo,86,Black
bop,66,Brown
boq,100,White
bor,74,Orange
bos,86,Gray
bot,22,Blue
bou,49,Gray
bov,54,Purple
bow,45,Purple
box,92,Lavender
boy,74,Red
boz,22,Gray
bpa,12,White
bpb,31,White
bpc,8,Blue
bpd,59,White
bpe,96,Pink
bpf,28,Blue
bpg,90,Black
bph,37,Blue
bpi,80,Brown
bpj,58,Magenta
bpk,99,White
bpl,95,Yellow
bpm,22,Orange
bpn,89,Cyan
bpo,88,Orange
bpp,32,Blue
bpq,64,Lavender
bpr,7,Purple
bps,38,Red
bpt,33,Pink
bpu,17,Gray
bpv,63,Cyan
bpw,62,Pink
bpx,29,Lavender
bpy,66,Magenta
bpz,49,White
bqa,12,Brown
bqb,85,Blue
bqc,91,Cyan
bqd,68,Green
bqe,5,Red
bqf,51,Red
bqg,17,Cyan
bqh,71,Pink
bqi,91,Lavender
bqj,79,Red
bqk,10,White
bql,13,Lavender
bqm,54,Blue
bqn,78,Black
bqo,85,Cyan
bqp,7,Lavender
bqq,15,Blue
bqr,45,Lavender
bqs,77,Magenta
bqt,23,Cyan
bqu,7,Red
bqv,63,Red
bqw,23,Cyan
bqx,29,Purple
bqy,1,Purple
bqz,65,Pink
bra,17,Brown
brb,6,Turquoise
brc,82,White
brd,4,Blue
bre,45,Purple
brf,64,White
brg,73,Gray
brh,15,Purple
bri,60,White
brj,40,Yellow
brk,24,Magenta
brl,7,Brown
brm,44,Red
brn,59,Yellow
bro,63,Gray
brp,82,White
brq,32,White
brr,59,Green
brs,67,Yellow
brt,17,Green
bru,57,White
brv,3,Magenta
brw,67,Black
brx,27,Blue
bry,68,White
brz,69,Blue
bsa,75,Pink
bsb,39,Green
bsc,83,Red
bsd,82,White
bse,51,Purple
bsf,82,Green
bsg,24,Blue
bsh,89,Red
bsi,75,Yellow
bsj,76,Black
bsk,59,Orange
bsl,58,Magenta
bsm,23,Green
bsn,91,Green
bso,89,Blue
bsp,88,Pink
bsq,68,Orange
bsr,17,Red
bss,45,Orange
bst,45,Black
bsu,82,Pink
bsv,47,White
bsw,20,Magenta
bsx,33,Pink
bsy,31,Black
bsz,81,White
bta,76,Yellow
btb,45,Orange
btc,31,Blue
btd,46,Yellow
bte,16,Gray
btf,43,Green
btg,4,White
bth,57,Pink
bti,17,Blue
btj,35,Brown
btk,40,Cyan
btl,68,Blue
btm,74,Cyan
btn,56,White
bto,65,Green
btp,92,Cyan
btq,76,Yellow
btr,77,Red
bts,52,Black
btt,4,Gray
btu,99,Brown
btv,39,Brown
btw,51,Purple
btx,10,Turquoise
bty,35,Brown
btz,36,Red
bua,49,Magenta
bub,22,Pink
buc,29,White
bud,33,Cyan
bue,32,Yellow
buf,36,Yellow
bug,35,Lavender
buh,85,Black
bui,50,Pink
buj,11,Brown
buk,57,Magenta
bul,29,White
bum,68,Cyan
bun,48,Lavender
buo,67,Green
bup,79,Purple
buq,31,White
bur,90,Green
bus,77,Green
but,25,Red
buu,23,Blue
buv,28,White
buw,18,Blue
bux,4,Purple
buy,7,Lavender
buz,93,White
bva,98,Orange
bvb,93,Red
bvc,7,Gray
bvd,10,Magenta
bve,72,Blue
bvf,25,Pink
bvg,62,Green
bvh,71,Magenta
bvi,29,Turquoise
bvj,15,Green
bvk,71,Cyan
bvl,29,Blue
bvm,50,White
bvn,91,Turquoise
bvo,98,Purple
bvp,64,Turquoise
bvq,12,Gray
bvr,46,Pink
bvs,50,Black
bvt,58,Yellow
bvu,42,Pink
bvv,16,Gray
bvw,63,Purple
bvx,65,Red
bvy,80,Pink
bvz,65,Yellow
bwa,1,Yellow
bwb,62,Cyan
bwc,17,Brown
bwd,92,Lavender
bwe,4,Turquoise
bwf,80,White
bwg,99,Black
bwh,16,Orange
bwi,78,Cyan
bwj,36,Red
bwk,77,Purple
bwl,3,Black
bwm,94,Red
bwn,22,Lavender
bwo,33,Pink
bwp,51,Black
bwq,87,Gray
bwr,95,Gray
bws,87,Pink
bwt,2,Orange
bwu,87,Orange
bwv,53,White
bww,55,Cyan
bwx,45,Black
bwy,68,Yellow
bwz,15,Black
bxa,6,Black
bxb,5,Blue
bxc,97,Blue
bxd,60,Purple
bxe,34,Lavender
bxf,83,Orange
bxg,47,Green
bxh,20,Pink
bxi,59,Blue
bxj,90,Black
bxk,94,Blue
bxl,70,Pink
bxm,57,Black
bxn,54,Pink
bxo,7,Yellow
bxp,1,Green
bxq,99,Lavender
bxr,42,Blue
bxs,7,Brown
bxt,2,Orange
bxu,59,Black
bxv,62,Brown
bxw,50,Turquoise
bxx,57,Black
bxy,76,Orange
bxz,3,Magenta
bya,86,Purple
byb,11,Yellow
byc,65,Turquoise
byd,55,Magenta
bye,75,Pink
byf,12,Turquoise
byg,28,Orange
byh,54,Purple
byi,9,Yellow
byj,9,Lavender
byk,86,Blue
byl,65,Brown
bym,80,Brown
byn,62,Green
byo,23,Magenta
byp,19,Red
byq,69,Pink
byr,19,Black
bys,19,Orange
byt,56,Black
byu,30,Green
byv,90,Blue
byw,58,Purple
byx,31,Turquoise
byy,59,Orange
byz,8,Black
bza,87,Blue
bzb,5,Pink
bzc,7,Yellow
bzd,91,Black
bze,36,Yellow
bzf,89,Pink
bzg,19,Green
bzh,37,Brown
bzi,68,Brown
bzj,29,Lavender
bzk,34,Lavender
bzl,12,Gray
bzm,59,Orange
bzn,15,Red
bzo,100,Orange
bzp,79,Orange
bzq,29,White
bzr,71,Green
bzs,1,Green
bzt,27,Gray
bzu,63,Turquoise
bzv,70,Brown
bzw,52,Blue
bzx,99,Brown
bzy,77,Lavender
bzz,17,Black
caa,44,Gray
cab,46,Green
cac,81,Orange
cad,40,Turquoise
cae,39,Red
caf,42,Red
cag,2,Yellow
cah,2,Lavender
cai,16,Yellow
caj,96,Gray
cak,8,Lavender
cal,42,Pink
cam,33,Cyan
can,67,Turquoise
cao,22,Orange
cap,30,Purple
caq,96,Orange
car,44,Lavender
cas,92,White
cat,0,Cyan
cau,25,Green
cav,57,Turquoise
caw,34,Magenta
cax,35,Pink
cay,40,Yellow
caz,15,White
cba,52,Yellow
cbb,51,Lavender
cbc,56,Yellow
cbd,65,Turquoise
cbe,51,Yellow
cbf,23,Blue
cbg,24,Blue
cbh,90,Gray
cbi,85,White
cbj,78,Magenta
cbk,70,Yellow
cbl,15,Lavender
cbm,91,Orange
cbn,20,Orange
cbo,81,Magenta
cbp,10,Magenta
cbq,11,Green
cbr,47,Magenta
cbs,45,Green
cbt,46,Turquoise
cbu,43,Red
cbv,83,Magenta
cbw,13,Green
cbx,85,Turquoise
cby,55,Pink
cbz,15,Pink
cca,75,Green
ccb,93,Yellow
ccc,77,Purple
ccd,60,White
cce,25,Red
ccf,38,Gray
ccg,53,Black
cch,52,Green
cci,92,Pink
ccj,45,Red
cck,22,Brown
ccl,83,White
ccm,66,Black
ccn,25,Blue
cco,67,Black
ccp,48,Black
ccq,25,Red
ccr,29,Gray
ccs,12,Turquoise
cct,13,Gray
ccu,93,Cyan
ccv,19,Lavender
ccw,8,Red
ccx,9,Pink
ccy,94,Yellow
ccz,28,Brown
cda,0,Yellow
cdb,9,Black
cdc,98,Black
cdd,65,Brown
cde,10,Green
cdf,74,Blue
cdg,81,Green
cdh,92,Purple
cdi,65,Lavender
cdj,83,Black
cdk,59,Pink
cdl,58,Orange
cdm,27,Blue
cdn,24,Blue
cdo,61,Gray
cdp,86,Blue
cdq,48,Orange
cdr,44,Orange
cds,23,Orange
cdt,97,Blue
cdu,17,Gray
cdv,10,Purple
cdw,90,Orange
cdx,8,Brown
cdy,6,Black
cdz,32,Turquoise
cea,72,Orange
ceb,24,Cyan
cec,48,Pink
ced,94,Pink
cee,20,Blue
cef,54,Gray
ceg,36,Lavender
ceh,17,Blue
cei,30,Red
cej,88,Lavender
cek,6,Pink
cel,29,White
cem,32,Magenta
cen,50,Lavender
ceo,19,Orange
cep,49,Orange
ceq,28,Orange
cer,93,Red
ces,41,Orange
cet,3,Turquoise
ceu,8,Gray
cev,35,Magenta
cew,84,Magenta
cex,38,Magenta
cey,25,Gray
cez,14,Purple
cfa,98,Magenta
cfb,75,Red
cfc,12,Gray
